operation,parameter,result,result_description
Change,Position,Gas Lift,(or Bubble Pump) A device that raises a fluid (such as water or oil) by introducing bubbles of compressed gas (such as air or water vapour) into the outlet tube. This has the effect of reducing the hydrostatic pressure in the outlet tube vs. the hydrostatic pressure at the inlet side of the tube.
Change,Position,Gear,"A gear (or more correctly a gear wheel) is a rotating machine part having cut teeth, or cogs, which mesh with another toothed part in order to transmit torque. Two or more gears working in tandem are called a transmission and can produce a mechanical advantage through a gear ratio and thus may be considered a simple machine. Geared devices can change the speed, magnitude, and direction of a power source."
Change,Position,Gravitational Convection (non heat),"Differential buoyancy forces which cause convection in gravity fields may result from sources of density variations in fluids other than those produced by heat, such as variable composition. For example, diffusion of a source of dry salt downward into wet soil assisted by the mechanism of the fact that saline is heavier than fresh water."
Change,Position,Harmonic Oscillator,"A system which, when displaced from its equilibrium position, experiences a restoring force proportional to the displacement. Mechanical examples include pendula (with small angles of displacement) and masses connected to springs."
Change,Position,Hart's Inversor,A mechanical linkage that can be used to convert circular motion into perfect linear motion (or vice versa). It does this without a sliding guide.
Change,Position,Heat Engine,"A system that performs the conversion of heat energy to mechanical work by exploiting the temperature gradient between a hot 'source' and a cold 'sink'. Heat is transferred from the source, through the 'working body' of the engine, to the sink, and in this process some of the heat is converted into work by exploiting the properties of a working substance (usually a gas or liquid)."
Change,Position,Hinge,A mechanical mechanism that allows mutal rotation of two joined objects around a joined common axis.
Change,Position,Impact Force,A high force or shock applied over a short time period. Such a force or acceleration can sometimes have a greater effect than a lower force applied over a proportionally longer time period.
Change,Position,Inclined Plane,"A flat surface whose endpoints are at different heights. By moving an object up an inclined plane rather than completely vertically, the amount of force required is reduced, at the expense of increasing the distance the object must travel."
Change,Position,Injector,"(or ejector) A pump-like device that uses the Venturi effect of a converging-diverging nozzle to convert pressure energy of a motive fluid to velocity energy, creating a low pressure zone that draws in and entrains a suction fluid. After passing through the throat of the injector, the mixed fluid expands and the velocity reduced, recompressing the mixed fluids by converting velocity energy back to pressure energy."
Change,Position,Intumescent Materials,"An intumescent is a substance which swells as a result of heat exposure, thus increasing in volume, and decreasing in density. Intumescents are typically used in passive fire protection."
Change,Position,Jet,"A coherent stream of fluid (e.g. gas or liquid) that is projected into a surrounding medium, usually from some kind of a nozzle or aperture. Jets can travel long distances without dissipating."
Change,Position,Johnsen-Rahbek Effect,An attractive force that occurs when an electric potential is applied across the boundary between a metallic surface and the surface of a semiconducting material. The magnitude of the force depends on the voltage and the specific materials involved.
Change,Position,Kármán Vortex Street,"A repeating pattern of swirling vortices caused by the unsteady separation of flow of a fluid over bluff bodies. It is responsible for such phenomena as the 'singing' of suspended telephone or power lines, the vibration of a car antenna at certain speeds."
