action,object,result,result_description
Absorb,Field,Phosphorescence,"A specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs."
Absorb,Field,Photoacoustic Effect,"The formation of sound waves, following light absorption in a material sample. Most generally, electromagnetic radiation of any kind can give rise to a photoacoustic effect. This includes the whole range of electromagnetic frequencies, from gamma radiation and x-rays to microwave and radio."
Absorb,Field,Photochromism,"The reversible transformation of a chemical species between two forms by the absorption of electromagnetic radiation, where the two forms have different absorption spectra. Trivially, this can be described as a reversible change of colour upon exposure to light."
Absorb,Field,Photoconductivity,"An optical and electrical phenomenon in which a material becomes more electrically conductive due to the absorption of electromagnetic radiation such as visible light, ultraviolet light, infrared light, or gamma radiation."
Absorb,Field,Photodissociation,"A chemical reaction in which a chemical compound is broken down by photons. Any photon with sufficient energy can affect the chemical bonds of a chemical compound. Since a photon's energy is inversely proportional to its wavelength, electromagnetic waves with the energy of visible light or higher, such as ultraviolet light, x-rays and gamma rays are usually involved in such reactions."
Absorb,Field,Photoelectric Effect,"The emission of electrons from matter (metals and non-metallic solids, liquids or gases) as a consequence of their absorption of energy from electromagnetic radiation of very short wavelength, such as visible or ultraviolet light."
Absorb,Field,Photoionisation,"The physical process in which an incident photon ejects one or more electrons from an atom, ion or molecule. This is essentially the same process that occurs with the photoelectric effect with metals. In the case of a gas, the term photoionisation is more common."
Absorb,Field,Photoluminescence,"A process in which a substance absorbs photons (electromagnetic radiation) and then re-radiates photons. Quantum mechanically, this can be described as an excitation to a higher energy state and then a return to a lower energy state accompanied by the emission of a photon. One of many forms of luminescence (light emission) and is distinguished by photoexcitation (excitation by photons)."
Absorb,Field,Photonic Crystal,"Periodic optical (nano)structures that affect the propagation of electromagnetic waves, useful for controlling and manipulating the flow of light."
Absorb,Field,Photophoresis,The phenomenon that small particles suspended in gas (aerosols) or liquids (hydrocolloids) starts to migrate when illuminated by a sufficiently intense beam of light. The existence of this phenomenon is owed to a non-uniform distribution of temperature of an illuminated particle in a fluid medium.
Absorb,Field,Photosynthesis,A process used by plants and other organisms to convert the light energy captured from the sun into chemical energy that can be used to fuel the organism's activities.
Absorb,Field,Photovoltaic Effect,"The creation of a voltage (or a corresponding electric current) in a material upon exposure to light. Though directly related to the photoelectric effect, the two processes are different and should be distinguished. In the photoelectric effect, electrons are ejected from a material's surface upon exposure to radiation of sufficient energy. The photovoltaic effect is different in that the generated electrons are transferred between different bands (i.e. from the valence to conduction bands) within the material, resulting in the buildup of a voltage between two electrodes."
